participant_id	ios_fu_score
sub-1001	1.0
sub-1002	n/a
sub-1003	n/a
sub-1004	2.0
sub-1006	2.0
sub-1007	n/a
sub-1009	2.0
sub-1010	n/a
sub-1011	n/a
sub-1012	2.0
sub-1013	1.0
sub-1015	n/a
sub-1016	n/a
sub-1019	n/a
sub-1021	1.0
sub-1240	1.0
sub-1242	3.0
sub-1243	1.0
sub-1244	4.0
sub-1245	1.0
sub-1247	3.0
sub-1248	1.0
sub-1249	1.0
sub-1251	n/a
sub-1253	2.0
sub-1255	n/a
sub-1276	2.0
sub-1282	3.0
sub-1286	2.0
sub-1294	2.0
sub-1300	2.0
sub-1301	n/a
sub-1302	2.0
sub-1303	n/a
sub-3101	n/a
sub-3116	5.0
sub-3122	n/a
sub-3125	5.0
sub-3140	1.0
sub-3143	n/a
sub-3152	2.0
sub-3164	2.0
sub-3166	n/a
sub-3167	3.0
sub-3170	2.0
sub-3173	1.0
sub-3175	n/a
sub-3176	n/a
sub-3186	2.0
sub-3189	5.0
sub-3190	1.0
sub-3199	n/a
sub-3200	1.0
sub-3206	1.0
sub-3210	n/a
sub-3212	n/a
sub-3218	n/a
sub-3220	5.0
sub-3223	n/a
